Fwd_Seg_Size_Min,Dst_Port,Fwd_Header_Len,Init_Fwd_Win_Byts,Flow_Byts/s,Label
714,80,48,83,35124.12412,1
580,80,48,83,34753.08642,1
681,80,48,83,33347.65235,1
614,80,48,83,31288.66233,1
354,80,48,83,33426.51971,1
465,80,48,83,24539.17663,1
537,80,48,83,34015.34868,1
539,80,48,83,38189.66667,1
513,80,48,83,37868.13187,1
349,80,48,83,33402.12695,1
376,80,48,83,30050.71738,1
399,80,48,83,39195.39078,1
327,80,48,83,32800.5328,1
424,80,48,83,39500.83417,1
481,80,48,83,38520.81252,1
460,80,48,83,34872.84197,1
34,80,48,42340,37321.30929,1
34,80,48,83,36791.16866,1
34,80,48,42340,35806.1031,1
34,80,48,42340,32112.11211,1
34,80,48,42340,38703.59281,1
34,80,48,42340,38260.10018,1
34,80,48,83,40770.10344,1
34,80,48,82,38898.4349,1
34,80,48,83,36964.03596,1
34,80,48,42340,31447.22779,1
34,80,48,82,35748.74875,1
34,80,48,82,30212.09085,1
34,80,48,82,28326.35427,1
34,80,48,83,30499.66667,1
34,80,48,42340,41850.7014,1
34,80,48,42340,34367.50419,1
34,80,48,83,36548.7642,1
34,80,48,83,34483.33333,1
34,80,48,82,35736.19428,1
34,80,48,42340,31201.73681,1
34,80,48,42340,38843.84093,1
34,80,48,83,8658.674659,1
34,80,48,42340,5456.122789,1
34,80,48,42340,6304.477612,1
34,80,48,83,5098.901099,1
34,80,48,83,4236.430236,1
34,80,48,83,5394,1
34,80,48,82,4547.808765,1
491,80,48,83,3932.067932,1
442,80,48,83,4059.94006,1
404,80,48,83,3679.65368,1
378,80,48,83,11404,1
470,80,48,83,1959.373959,1
537,80,48,83,1911.551155,1
615,80,48,83,2376.408217,1
540,80,48,83,2852,1
434,80,48,83,2584.082584,1
505,80,48,83,2687.312687,1
416,80,48,83,2173.826174,1
525,80,48,83,2416.085078,1
714,80,48,83,1972.111554,1
460,80,48,83,3015.651016,1
380,80,48,83,2431.803061,1
484,80,48,83,2260.521042,1
380,80,48,83,4053.015242,1
580,80,48,83,2180.126288,1
384,80,48,83,1828.282828,1
681,80,48,83,1868.271481,1
34,80,48,42340,2316.950853,1
34,80,48,42340,2218.666667,1
34,80,48,82,2300.967634,1
34,80,48,82,2490.591398,1
34,80,48,83,1506.69344,1
34,80,48,83,2019.860973,1
34,80,48,82,2215.223097,1
754,80,48,83,2068.666667,1
651,80,48,83,2651.424785,1
448,80,48,83,2288.755822,1
414,80,48,83,2294.372294,1
443,80,48,83,2463.242699,1
410,80,48,83,2228.228228,1
567,80,48,83,2177.822178,1
362,80,48,83,2836.496836,1
418,80,48,83,2645.333333,1
347,80,48,83,2295.704296,1
305,80,48,83,2244,1
491,80,48,83,3080,1
354,80,48,83,2681.318681,1
442,80,48,83,2158.158158,1
34,80,48,42340,2202.666667,1
34,80,48,83,2452.214452,1
404,80,48,83,2140.021978,1
378,80,48,83,1529.475475,1
470,80,48,83,2038.036036,1
537,80,48,83,2017.964072,1
615,80,48,83,1992.046154,1
540,80,48,83,1540,1
34,80,48,83,264,1
34,80,48,83,22.02202202,1
434,80,48,83,0,1
505,80,48,83,0,1
416,80,48,83,21.89054726,1
34,80,48,42340,44.04404404,1
525,80,48,83,22.02202202,1
